sid,tid,fid,ss,et,label,score
0,7,0,2,193,1,0.961432933807373
0,59,0,2,235,1,0.391153484582901
0,46,25,2,154,1,0.5573292374610901
0,71,25,3,200,0,0.20874127745628357
0,51,10,2,355,1,0.9383296370506287
0,93,10,3,310,1,0.734987199306488
0,86,20,3,174,0,0.016489017754793167
0,52,10,2,374,1,0.9654232263565063
0,29,15,2,426,1,0.9219428896903992
0,63,5,2,38,1,0.9654533863067627
0,57,10,3,155,1,0.6078428626060486
0,35,0,2,17,1,0.9990731477737427
0,38,25,3,278,1,0.9239007830619812
0,44,25,2,429,0,0.5902029871940613
0,79,10,3,303,1,0.7625006437301636
0,55,0,2,119,1,0.9949988126754761
0,62,10,2,342,1,0.9389650821685791
0,4,5,2,38,1,0.996516227722168
0,88,20,3,229,1,0.0008126584580168128
0,24,5,3,325,1,0.09631853550672531
0,16,5,2,385,1,0.9842075705528259
0,48,15,3,29,1,0.997269332408905
0,11,0,2,274,0,0.9975329637527466
0,52,15,2,374,1,0.9915516376495361
0,20,10,3,193,0,0.881414532661438
0,84,10,2,374,1,0.27374544739723206
0,42,5,2,385,1,0.9897497296333313
0,79,0,3,303,1,0.3594551980495453
0,51,0,2,355,1,0.9471253752708435
0,84,20,2,374,1,0.5200144052505493
0,88,15,3,229,1,0.0006845718016847968
0,85,0,2,107,1,0.000901147082913667
0,22,5,2,250,1,0.7860619425773621
0,38,5,3,278,1,0.8737168312072754
0,3,5,3,306,1,0.9941673278808594
0,4,0,2,38,1,0.9988712668418884
0,50,20,2,310,1,0.993608832359314
0,15,25,2,371,1,0.9106109142303467
0,53,20,2,393,1,0.9925773739814758
0,28,20,2,404,1,0.9844301342964172
0,39,0,3,308,1,0.7811005711555481
0,85,5,2,107,1,0.0014166421024128795
0,66,25,2,77,1,0.376493901014328
0,33,5,2,120,1,0.99873286485672
0,37,15,2,266,1,0.8950214385986328
0,84,15,2,374,1,0.4076732397079468
0,88,10,3,229,1,0.014007538557052612
0,26,20,2,30,1,0.9870158433914185
0,29,20,2,426,1,0.8276338577270508
0,29,10,2,426,1,0.5847920179367065
0,47,0,2,177,1,0.5575075149536133
0,60,20,2,251,1,0.2395491898059845
0,32,20,3,104,1,0.4268709719181061
0,14,15,2,337,0,0.8487784266471863
0,28,10,2,404,1,0.26784974336624146
